,brain region,measurement,standard deviation,measurement type,measurement unit,cell type,source title,comment,specimen age
1822,"Lateral visual area, layer 5",1750.1717393712,215.8336142184,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1823,Primary visual area,3077.1820613627,187.1258635667,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1824,"Primary visual area, layer 1",1370.9449262322,273.6410902856,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1825,"Primary visual area, layer 2/3",6329.8446265045,347.856167129,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1826,"Primary visual area, layer 4",3974.966793954,216.3357655273,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1827,"Primary visual area, layer 5",1867.5446907738,143.8599139783,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1828,Posterolateral visual area,3180.439163553,196.8770595394,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1829,"Posterolateral visual area, layer 1",1451.9982986404,510.4423959848,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1830,"Posterolateral visual area, layer 2/3",6352.2623967705,504.0874030573,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1831,"Posterolateral visual area, layer 4",4631.3233336402,366.5893950141,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1832,"Posterolateral visual area, layer 5",2295.3971572641,303.7678856288,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1833,posteromedial visual area,3532.8121635711,346.1396513816,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1834,"posteromedial visual area, layer 1",1447.6345684148,675.108720209,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1835,"posteromedial visual area, layer 2/3",6254.6468720297,643.7327916603,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1836,"posteromedial visual area, layer 4",4824.4636108998,519.9792137313,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1837,"posteromedial visual area, layer 5",2711.5230325178,441.7429282449,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1838,Anterior cingulate area,2599.5469043442,145.7977017411,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1839,"Anterior cingulate area, dorsal part",2392.3626492541,120.6172188228,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1840,"Anterior cingulate area, dorsal part, layer 1",2876.0726551482,337.9120276556,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1841,"Anterior cingulate area, dorsal part, layer 2/3",4259.2415763894,223.5791710878,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1842,"Anterior cingulate area, dorsal part, layer 5",1044.5339419723,76.1006969415,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1843,"Anterior cingulate area, ventral part",2788.2211337961,181.0126467472,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1844,"Anterior cingulate area, ventral part, layer 1",3035.4278074412,398.9729869358,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1845,"Anterior cingulate area, ventral part, layer 2/3",4840.9247525031,258.9720577035,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1846,"Anterior cingulate area, ventral part, layer 5",1180.2265668027,93.864935652,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1847,"Anterior cingulate area, ventral part, 6a",909.0802354743,94.9859907279,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1848,Prelimbic area,2364.8600910054,167.1264496418,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1849,"Prelimbic area, layer 1",3724.4070549316,485.8918052523,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1850,"Prelimbic area, layer 2",5575.5866623423,500.8009867427,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1851,"Prelimbic area, layer 2/3",2697.5952170672,195.2982985205,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1852,"Prelimbic area, layer 5",924.9582370008,60.8099299922,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1853,Orbital area,1875.0949159429,175.9334201595,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1854,"Orbital area, lateral part",1693.8038115272,181.4005456812,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1855,"Orbital area, lateral part, layer 1",3059.9861744638,274.6509492247,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1856,"Orbital area, lateral part, layer 2/3",2161.5376728487,353.8515996074,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1857,"Orbital area, lateral part, layer 5",796.6510349314,117.936600519,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1858,"Orbital area, medial part",2116.2543587001,200.447898188,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1859,"Orbital area, medial part, layer 1",3943.1306273449,505.3566714619,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1860,"Orbital area, medial part, layer 2",4494.0109989439,534.7781896921,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1861,"Orbital area, medial part, layer 2/3",1905.2640936569,183.2701308903,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1862,"Orbital area, medial part, layer 5",865.258633004,104.505620967,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1863,"Orbital area, ventrolateral part",1938.0784585393,167.1450742631,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1864,"Orbital area, ventrolateral part, layer 1",3717.0555352547,427.5579841727,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1865,"Orbital area, ventrolateral part, layer 2/3",2170.3037756629,311.1699293613,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1866,"Orbital area, ventrolateral part, layer 5",932.3479642152,129.6956554342,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1867,Agranular insular area,1651.7012770515,116.1414158037,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1868,"Agranular insular area, dorsal part",1817.2761198662,121.2049401206,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1869,"Agranular insular area, dorsal part, layer 1",1927.7745674334,440.4234642441,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1870,"Agranular insular area, dorsal part, layer 2/3",2695.5793946689,286.3483058411,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1871,"Agranular insular area, dorsal part, layer 5",725.4057754657,57.3782769712,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1872,"Agranular insular area, posterior part",1601.1550970521,183.2828418224,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1873,"Agranular insular area, posterior part, layer 1",1183.1155160381,530.1428819126,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1874,"Agranular insular area, posterior part, layer 2/3",3149.1553153666,418.0775237384,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1875,"Agranular insular area, posterior part, layer 5",1004.3910991596,136.9132504495,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1876,"Agranular insular area, ventral part",1356.4947904315,107.7889783762,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1877,"Agranular insular area, ventral part, layer 1",1214.9461406025,337.4815881212,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1878,"Agranular insular area, ventral part, layer 2/3",2281.0914803417,231.3408518673,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1879,"Agranular insular area, ventral part, layer 5",645.9445230466,106.7782744044,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1880,Retrosplenial area,2845.1921816504,183.1922275206,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1881,"Retrosplenial area, lateral agranular part",3324.6891723855,201.6021889592,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1882,"Retrosplenial area, lateral agranular part, layer 1",1721.8580812469,570.9813586783,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1883,"Retrosplenial area, lateral agranular part, layer 2/3",8079.184734914,391.9228115204,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1884,"Retrosplenial area, lateral agranular part, layer 5",1830.828805486,214.5095782787,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1885,"Retrosplenial area, dorsal part",2735.6522378082,159.9808923538,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1886,"Retrosplenial area, dorsal part, layer 1",1396.5657713597,272.9499125657,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1887,"Retrosplenial area, dorsal part, layer 2/3",6014.5065916375,337.201022367,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1888,"Retrosplenial area, dorsal part, layer 5",1733.5424828407,248.2164208829,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1889,"Retrosplenial area, ventral part",2816.2894300653,206.5242202574,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1890,"Retrosplenial area, ventral part, layer 1",2269.8364591253,522.3004399967,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1891,"Retrosplenial area, ventral part, layer 2",6530.2170323457,731.8923128171,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1892,"Retrosplenial area, ventral part, layer 2/3",6009.9189953347,476.1056392176,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1893,"Retrosplenial area, ventral part, layer 5",1513.4610485954,156.8594948457,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1894,Posterior parietal association areas,2502.4133344805,181.3726122974,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1895,"Posterior parietal association areas, layer 1",1602.3109457766,378.3210259808,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1896,"Posterior parietal association areas, layer 2/3",5761.4986921005,424.0365422075,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1897,"Posterior parietal association areas, layer 4",3203.8996827513,335.0128021786,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1898,"Posterior parietal association areas, layer 5",1321.4706176471,109.7379452445,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1899,Temporal association areas,2761.0025891544,187.0588780978,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1900,"Temporal association areas, layer 1",1465.8185627586,387.9829506005,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1901,"Temporal association areas, layer 2/3",6110.5707934365,428.0061204814,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1902,"Temporal association areas, layer 4",4228.4165994886,525.6032237002,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1903,"Temporal association areas, layer 5",1719.8393871877,142.3732618118,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1904,Perirhinal area,1655.5275865746,201.9999357488,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1905,"Perirhinal area, layer 1",1135.1241159943,341.432935261,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1906,"Perirhinal area, layer 5",967.6294877197,83.7063705932,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1907,"Perirhinal area, layer 2/3",3092.9961279588,490.0363174752,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1908,Ectorhinal area,2986.2396271827,293.987263903,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1909,Ectorhinal area/Layer 1,1557.5959790728,367.7214640261,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1910,Ectorhinal area/Layer 2/3,5968.4561650564,572.5329842696,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1911,Ectorhinal area/Layer 5,1846.1997050361,125.802759941,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1912,Olfactory areas,2213.9891024421,119.3733101795,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1913,Main olfactory bulb,4115.3730322027,235.2444730271,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1914,"Main olfactory bulb, glomerular layer",6342.6364787144,732.4071076049,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1915,"Main olfactory bulb, granule layer",472.2848451417,116.3370458582,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1916,"Main olfactory bulb, inner plexiform layer",1713.0123631085,827.3248740596,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1917,"Main olfactory bulb, mitral layer",3133.6878001956,1049.1400777088,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1918,"Main olfactory bulb, outer plexiform layer",8110.4669533428,643.9164173526,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1919,Accessory olfactory bulb,1614.602763245,134.6584864406,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1920,"Accessory olfactory bulb, glomerular layer",5258.0557074847,397.0594642923,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1921,"Accessory olfactory bulb, granular layer",403.1909128436,115.3546027852,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1922,"Accessory olfactory bulb, mitral layer",833.1498208805,112.9144397261,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1923,Anterior olfactory nucleus,941.423543473,80.5182789004,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1924,"Anterior olfactory nucleus, dorsal part",650.3836825915,72.4938964403,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1925,"Anterior olfactory nucleus, external part",1020.6279655392,314.532043997,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1926,"Anterior olfactory nucleus, lateral part",622.4125590606,66.9899942012,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1927,"Anterior olfactory nucleus, medial part",1282.6931086835,124.0394298811,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1928,"Anterior olfactory nucleus, posteroventral part",1049.3488814843,116.0200559331,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1929,"Anterior olfactory nucleus, layer 1",942.8568755557,132.9544091142,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1930,Taenia tecta,1502.9268955793,136.84302621,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1931,"Taenia tecta, dorsal part, layer 1",1732.8494451886,301.6625095392,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1932,"Taenia tecta, dorsal part, layer 2",1762.6187793259,139.273566122,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1933,"Taenia tecta, dorsal part, layer 3",1087.7892484359,112.9454413655,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1934,"Taenia tecta, dorsal part, layer 4",644.7390054674,81.8687754199,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1935,"Taenia tecta, ventral part, layer 1",1302.100575049,309.886324959,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
1936,"Taenia tecta, ventral part, layer 2",2166.2772425847,212.1386922188,cell density,number of cells per mm^3,VIP+,Brain-wide Maps Reveal Stereotyped Cell-Type-Based Cortical Architecture and Subcortical Sexual Dimorphism,Average over genders,8- to 10-week old
